Post_ID,Platform,Likes,Comments,Shares,Views,Post_Date
1,Twitter,6103,561,3971,110215,2023-01-01 00:00:00
2,TikTok,8972,420,1660,999982,2023-01-01 00:01:00
3,Facebook,3638,1478,1218,247579,2023-01-01 00:02:00
4,YouTube,3110,1996,1222,368908,2023-01-01 00:03:00
5,TikTok,8888,895,653,31176,2023-01-01 00:04:00
6,Twitter,3429,682,3261,863640,2023-01-01 00:05:00
7,Facebook,9597,1242,4449,473381,2023-01-01 00:06:00
8,TikTok,3981,137,4863,237955,2023-01-01 00:07:00
9,Facebook,8613,598,3480,761403,2023-01-01 00:08:00
10,Instagram,6791,940,623,40050,2023-01-01 00:09:00
11,LinkedIn,8617,1048,1860,356616,2023-01-01 00:10:00
12,Twitter,6066,298,1218,493007,2023-01-01 00:11:00
13,Facebook,6175,1736,1187,179017,2023-01-01 00:12:00
14,YouTube,1691,241,1818,188735,2023-01-01 00:13:00
15,LinkedIn,7494,1355,4860,806080,2023-01-01 00:14:00
16,TikTok,6396,1611,4739,361641,2023-01-01 00:15:00
17,LinkedIn,459,1039,3759,513547,2023-01-01 00:16:00
18,LinkedIn,6315,1235,4274,191646,2023-01-01 00:17:00
19,YouTube,8541,465,4962,656635,2023-01-01 00:18:00
20,TikTok,5122,1091,3627,143095,2023-01-01 00:19:00
21,Twitter,4916,1554,93,137469,2023-01-01 00:20:00
22,TikTok,8662,1084,4529,285596,2023-01-01 00:21:00
23,Facebook,4029,575,526,886329,2023-01-01 00:22:00
24,TikTok,8052,1784,4351,831757,2023-01-01 00:23:00
25,YouTube,6868,1975,2146,598993,2023-01-01 00:24:00
26,LinkedIn,9569,1249,1502,905055,2023-01-01 00:25:00
27,YouTube,8193,960,1866,966963,2023-01-01 00:26:00
28,LinkedIn,5417,787,1151,562782,2023-01-01 00:27:00
29,Twitter,9562,1809,1098,351987,2023-01-01 00:28:00
30,Twitter,2851,1778,1188,348527,2023-01-01 00:29:00
31,Instagram,9425,982,3640,824951,2023-01-01 00:30:00
32,TikTok,5880,1226,4268,406778,2023-01-01 00:31:00
33,Instagram,5843,1114,436,570339,2023-01-01 00:32:00
34,Twitter,8894,1694,1419,359072,2023-01-01 00:33:00
35,Facebook,402,530,516,340334,2023-01-01 00:34:00
36,TikTok,808,982,3929,255165,2023-01-01 00:35:00
37,TikTok,6551,48,420,826363,2023-01-01 00:36:00
38,TikTok,2248,696,2496,491657,2023-01-01 00:37:00
39,LinkedIn,8079,655,3544,727291,2023-01-01 00:38:00
40,YouTube,8706,657,2092,901960,2023-01-01 00:39:00
41,LinkedIn,7052,747,1559,746589,2023-01-01 00:40:00
42,LinkedIn,669,1364,4972,276563,2023-01-01 00:41:00
43,LinkedIn,8059,1108,4048,932975,2023-01-01 00:42:00
44,Facebook,7089,110,2999,403782,2023-01-01 00:43:00
45,Facebook,872,760,256,567919,2023-01-01 00:44:00
46,TikTok,2212,1624,2286,896485,2023-01-01 00:45:00
47,LinkedIn,8180,576,2298,871907,2023-01-01 00:46:00
48,TikTok,6716,753,1658,636964,2023-01-01 00:47:00
49,YouTube,3040,626,4699,906310,2023-01-01 00:48:00
50,YouTube,857,844,4404,865174,2023-01-01 00:49:00
51,TikTok,9399,654,3362,476995,2023-01-01 00:50:00
52,Twitter,4849,1877,63,410845,2023-01-01 00:51:00
53,Instagram,8441,1884,557,861634,2023-01-01 00:52:00
54,Facebook,2243,1247,1699,760370,2023-01-01 00:53:00
55,TikTok,7401,587,3208,92683,2023-01-01 00:54:00
56,YouTube,2780,985,2982,904166,2023-01-01 00:55:00
57,Twitter,6492,483,377,55900,2023-01-01 00:56:00
58,Twitter,5988,1527,3650,51902,2023-01-01 00:57:00
59,Twitter,674,1770,1339,508227,2023-01-01 00:58:00
60,TikTok,2659,1003,816,55588,2023-01-01 00:59:00
61,YouTube,7134,312,1488,472269,2023-01-01 01:00:00
62,Facebook,8991,1479,2019,615572,2023-01-01 01:01:00
63,LinkedIn,6038,1411,203,723555,2023-01-01 01:02:00
